text_akhir,polarity_score,polarity
sebenernya suka udh main ayo pas login lift stcuk sang hang trus force close coba download tolong diperbaiki maksudnya gimana developer,8,positive
game wifuable yg keren abiss topmarkotop actionnya dapet combo wombo yg mengagumkan storynya monoton tp yg actionnya,3,positive
gams mudah mainkanpanduan membantu event bahasa sesuai pengaturan,2,positive
game udh bagus pengen open world tambahin npc gk ketemu temen biar seru gk sepi sepi selebih udh bagus event event menarik thanks developer,-8,negative
wahgame bagus sihdari segi cerita gameplay gitu gitu ajagrafis karakter bagus unikgacha pelit farming karakter lagimemang bagus game,-11,negative
game tuh bagus game cocok hp spek bagus ghensin impact sebenernya pengen main ghensin impact hp g kuat nemu honkai impact bagus kayak ghensin,-6,negative
terima kasih solusinya ai chan main kendala stack disuruh download asset numpuk coba instal app obb wibsitenya mihoyo asia,2,positive
game bagus login banget pengaturan diupdate apalah update game suruh download aset grapik dah kaya ngintal ulang aja,-3,negative
game bagus story mantap tolong uptade memakan memory tolong kurangi kasihan ama hp nggak download update apk tambahin bintang terimakasih,7,positive
udah betah game bikin betah bait dorama gacha nabung crystal kekumpul gara gara event spend crystal udah dapetnya ampad rate mulustory dah abis ladang cry abyss penghuni agony,-17,negative
tolong kasihanilah pakai snapdragon coop ketemu hov hor auto honkai tolong kondisikan main langsung,6,positive
kecewa niatnya berhenti bermain karna hp kuat menanggung ram memiliki hp kuat bermain honkai akun mainkan hapus honkai,-7,negative
game bagus seru valkyrie game tolong tambahkan tolong tambahkan fitur voice game bermain party,6,positive
mihoyo pilihan bahasa indonesia translate indonesia story harap pilihan bahasa indonesia translate bahasa indonesia midah memahami alur story,-3,negative
menginstal mendownload gb game muncul tulisan menghubungkan jaringan selesai,-3,negative
main story upddate devv main aphoer jujur main game main story kiana ehh dalah buntung fokus side story yg sentuh suka alur,-2,negative
game totalnya gb ram gila ampe habis memori gb bawaan trus update buang kouta aja min gua make wifi,-2,negative
gw game bagus menarikkalau main siap² hp ngelag panas dllkarna resikodan yg bikin gw kecewagw udah capek²ngumpulin diamond nge gacha karakter dapet ampas untung dapet karakter gw opakesemoga pas gw nge gacha mihoyo kasih karakter baikthank,11,positive
mohon bantuanyasaya infokan mengupdate game app store buka aplikasi store knapa tulisan updatelalu buka aplikasi info yg mengupdate gamemohon bantuanyasaya bermain,-9,negative
aja yg kentang genshin impact dragon raja gede diatas gb tpi saran update seminggu kasian yg gk internet temen nebeng kuota kehari game android menyamakan ps sizenya diatas gb siapkan penyimpanan kuota sayang jaringan g aja lemot keluarin g payah jga ni,-13,negative
bahas sistem gachax gacha x putaran x putaran senilai kristal biru x putaran senilai kristal birusiapa orang ngumpulin ampe segitu bang orang males ngumpulin kristal biruoke ambil x putaran senilai kristal biru terlaiu pangkasagar mudah karakter tingkat stolong dipangkas,-10,negative
kasih bintang gara gara pas login memakai akun yg samatidak gonta ganti sandi akun ter reset udah main top game benci hoyoverse uang habis sia sia semoga akun dikembalikan,-8,negative
game bagus download data ngelag download data tolong permudahkan download dah,-8,negative
bagus banget nunggu ngak kecewa grafiknya kayak anime bagus banget pokoknya nunggu ngak nyesel udah selesai loading komen buruk lihat bagus ngak terima kasih,-14,negative
cocok sinyal lemot aja mb didalem download ber giga giga yg kecepatan internet kbs nunggu jam mending uninstall udah cape cape download jam download,-7,negative
simple aja size apk gedhe ngga kuat downloadhp kentang males nunggu doang updateinstall ulang tp sisa sampahnya beeeh kalo biarin numpukk sukur si dev ngatasin,-8,negative
game bagusdari grafikbagus storybagus control nyabuat developer bikin game good job banget menikmati maen,10,positive
gimana pas disuruh updating data event berhenti nggak nambah nambah bosen nunggu tolong dikasih pencerahannya penyimpanan nggak mencukupi sinyal susah udah g,-12,negative
update gimana yah min dah instal kemaren kemaren trus buka gabisa notive suruh update trus gabisa update solusi yah suka banget game makasih edit disuruh donload full version,5,positive
main game bahasa china v berhenti gachanya resek akun biar ratenya ganti pemain gacha kali x gem event char dijamin keterangannya kampret,-16,negative
game terkeren pkoknyaskedar masukan pengembang coba bahasa indonesia nambah seru lagikarena player indonesia jga banyaksejauh english translete doangdi buatin versi bahasa indonesianya minbiar peecakapan pas sblum misi mudah mengerti pahamiuntuk player mending gemsdiamond kumpulin mpe k deh draw dpetin hero typethanksmaju trus honkai impact lovers indonesia,1,positive
memperbaharui pengaturan reset downloadnya udah parahnya berkali wifi tercatat gb data terpakai pdhl memperbaharui pengaturan doangkenapa,-3,negative
game bagus karna liat teman main game pas download game download apk pas nungguin udah nunggu eh ulang tolong perbaiki jaringan bagus kouta beli,8,positive
mantab game nyenengin event gratisannya recomended overall udah bagus visual story klip yg grafiknya,0,neutral
parah banget dah penyimpanan gw aja gb pas ndownload data game penggabunganverifikasi aset gagal silahkan cek sisa ruang penyimpanan coba gw dah coba berkali kali tetep aja perbaiki mihoyo,-16,negative
keren game terkesan tolong perbaiki subtitle sesuai terima kasih,9,positive
kedepannya tolong tambahkan fitur download latar download latar fitur mute backsound mendownload file layar game semoga ditanggapi kedepannya,3,positive
bener komentar player habis download gb download hd resource gban parah tolong ubah resource datanya kalo hd resourcenya gb yaudah segitu aja gede sizenya sampe penyimpanan hp gua habis coba trus mending lu remove ni game play store dah lu mending rilis aja steam pc kalo ukuran gamenya aja dah gb ukuran smartphone,-9,negative
vidionya asik loading game gk seru jd tolong de perbaharui pembuat game loading banget ampe malad dowloand udh hapus aplikasinya game gk seru jd taruh bintang benci game,14,positive
game mantap gimana sistem gacha x tulisan senjata gua puter senjata gk senjata dpt stigma nta hedeh gu ngumpulin ampe lumutan niat sabit phantom ee mlh dpt lvl aama gk mohon perbaiki sistem gacha klo gk niat kasih jngn harapan buka lngsng dpt kasian yg kumpulin diaomnd smle kering main wkwwk,-12,negative
bagus grafiknya mendownload gamenya siapin penyimpanan didalam game unduh filenya mb yah selebihnya bagus sekian terima kasih,1,positive
tolong perbaiki login jdi susah udh lvl jdi pemula pas main pemula nge lag sma error karakternya tolong diperbaiki mihoyo,-3,negative
best game ever cuman fix effect buff elysia realm kadang buffnya ngebug ngasih dmg dmg tolong dibikin kompitable spek mid kebawah map abyss ulti vervant temporoza augment dmgnya kg masuk lawanmiss,4,positive
tolong stage staminanya kurangin biar puas mainnya kalo staminanya tepakai stage cepat habis contoh week day main stamina dipakai stage story suprem main tolong perbaiki mihoyo,2,positive
diluarnya mb pas masuk suruh download datanya mb unzip makan data mb update makan data mb kecewa lahh udah kuota gua abis ram gb kuat gua tunggu sampe batere gua eh anjing,-26,negative
hai ai chan saran meningkatkan tekstur grafik fitur motion blur honkai impact texture yg aga banding genshin yg mantap tengkyu pengalaman bermainnya,5,positive
bug game hp rusak download data game gb homescreen kalo dibawa homescreen langsung jalan downloadnya didownloadnya game nonton video kalo download tolong kalo kasih bintang pliss admin game tolong diperbaiki,10,positive
tolong mihoyo realese game hi console playstation honkai strarrail genshin impact jarang bermain via mobile menghabiskan bermain console tolong pertimbangkan saran,0,neutral
teri teri wkwk aichan keseringan minum jdi kek gtu dah otaknya g jelasv game hi mnurut gw best deh aja event storyny mntap deh game bergengsi pkony oia harap hi event yng menantang dapet valkyri rank ss gratis gtu hwhw,5,positive
mantull yg komplen lagsering bug device tdk memadai coba ganti mobilepc mnurut sy game smooth grafis,3,positive
ai chan developer pemain bermain download stuck nol maju sinyal penyimpanan mohon perbaiki player nyaman,-2,negative
mantap game gua cuman saran tolong pas dowload update update terbarunya aplikasi dijalankan dilayar belakangsoalnya nunggu gamenya bosam cuman ngeliatin persenan,6,positive
hai devloper honkai impact mohon maaf besarnya devloper honkai impact game susah payah main kasih bintang alasannya yah pas mendownloadnya masuk semangat hp habis baterai terbuang sia sia gamenya bagus aneh segitu terimakasih devloper honkai impact semoga suksesd whitechoco,-10,negative
game bagus respon developer game cepat devicenya yg support providernya bermasalah dg game thx aichan,10,positive
ulas game bagus banget yg kaya yg verifikasi menggabungkan gagal download resource pas nge download berhenti app mengakibatkan gagal penggabungan verifikasi love game,0,neutral
far bagus kendala download kuras kuota worth gameplaynya kalo story pake hero,-4,negative
cosplay seksi salahin cosplayer salahin anime game cosplayer ok orang pintar oke gimana kasih ranking ao adltcina bikin game outfitnya kayak rise tomb raider,5,positive
game bagus grafik bagus semangat udah downlod animasi bagus dadah eeh game update yah pesan terima kasih love honkai impact l ove,1,positive
point sjdan singkat kritikan ny instal game login banget mohon perbaiki developer perbaiki kasih star maaf salah permisi,-9,negative
sekian gameplay okeh sihh karakter cowok versi lawan player gue udah download data gb tau download banget bosen nungguinnya ubah karakter cowok data kurangi baka doang bodoh,-18,negative
game bagus dwonload data mendwonload ulang yg player berpikir ulang bertahan game,-1,negative
honkai tolong konsumsi kecepatan data internet login update diperbagus lagisuka gagal login gagal update koneksi bermain update genshin lancar pakai kartu provider byu internet unlimited mbpslalu konsumsi energy quest lainya kurangi upgrade valkyrie itunganya mahal karakter barusekianterima kasih muat,-4,negative
grafik gamenya bagus download maaf downloadnya lambat memakan tolong kedepannya upgradenya cepat terimakasih,0,neutral
terimakasih banget buatt hoyoverse sudahh bikin chapter menegangkan dann memuaskan sudahh thn nemenin game lihat endingnya mengecewakan berharap orang game doakan sehat keselamatan tuhan semoga chapter baruu riliss mengecewakan salam kapten hyperion,12,positive
login update pengaturan tunggu trs berulang bikin kuota abis doang suee semoga cepat perbaiki sinyal mendukung,-4,negative
mohon bantuannya gamenya banget download yah paket sinyal g banget yah kasih rating dlu yah kalok tau solusinya tambahin mohon bantuannya,6,positive
game bagus banget sayang mendownload data guede beud gabisa pake wifi udah berkali kali coba pake wifi gabisa hasilnya worth bagus,-5,negative
download datanya anying sinyal glagi hemat pakai wifikan selesai eh download data dongane ndak paham,-7,negative
force close bermain elysia realm dirac seaqsingularis settingan grafik medium fps combat efek dimatikan tolong dioptimalkan,4,positive
pemain nih download disuruh download data gb gila kali download video diputar berulangulang download tolong download data main mobile legends aja download data game nih game g seru oh email biar share masalahku,-12,negative
eh mihoyotod kampret klo update patch download ulang game gb asli buang paket ajg nambahin yg update klo kek gitu gk kasih tau player update patch hapus aja data yg ajg menuhin storage aja,-7,negative
maaf nih emang game bagus mohon ditingkatkan performa memainkan story frame drop parah mohon update performa mohon tingkatkan,-9,negative
nice game pecinta grafis high end gua udah thn main ni game serunya even slalu update bulannya thank mihoyo otaku save world,9,positive
berat banget memorinya hp pdhl bagus gamenya tp hrs delete gegara memori hp pdhl udh sediain tpi literally gamenya bagus dr segi grafik story dll trs bertingkat hi,-15,negative
halo mihoyo ingame suruh update tombol update play store gk tombol mainkan aja tolong perbaiki terpaksa instal ulang,-3,negative
memiliki pribadi selesai update playstore login server perbaikan menunggu playerserver memiliki kendala btw server milikku sea harap login bermain,-2,negative
ramah free player kalo masuk mid game mode hard seret crystal kalo event blm dapet crystal sampe gacha x hilangnya mode hard berfikir berguna char yg gacha mahalnya pakai mode normaldan story chpt menengah pakai char hasil gacha mengikuti story yg sayangkan hilangnya mode hard chapter,17,positive
bro gue data internet gb habis cuman download loading doang please udah download file masuknya loading mengakses data update data event dll coba gue download jam sore sampe jam malem kagak kelar ni serius belain nebeng wifi gue maen aja dipersulit gue tau ni game asik download gue ganti hp yah gitu kudu download eh kek gini males gue downloadnya ngasih lu tu gb,-16,negative
perasaan gua udah unduh gb pas update tanggal desember unduh gb tolong perbaiki hp ram gb solusinya unduh please gua main oke honkai febuari download data gb update play store bener aja udah kali kalo geme manjadi perbaiki bugnya males download april download aset data gb kouta gua langsung abis gile ni game,-10,negative
mantul banget dah event yg seru valkyrie yg kawaii yg ngeluh gk login elu goblok gimana klo announcement game baca klo gk ribet main tetris aja sonoh,-9,negative
update trus gabisa uninstal deh trus coba download trus error unins coba download error redownload mulu ane tutup trus buka eh black screen ntaps game bagus gara update sampe troble gamain berbulan gara dah dah,-23,negative
tolong perbaiki loading grafik bagus banget aja loading ja yg perbaiki,1,positive
update play store jam maintenance gamenya udah selesai game nyuruh update play store game kaya sampah antusias nunggunya mending hapus teman teman baca ulasan mending ajukan protes mihoyo,-9,negative
game bangsat upgrade versi terharu banyk login jancok pensi aja dah udah pw ukuran gede lg benerin napa cok,-7,negative
da pembaruan kali contoh pvnya pake versi mengunduh pembaruan suka mohon diperbaiki bug,10,positive
hai nama afiqah bermain game loding tinggal berchatan bestie tinggal dikit rapi ngulang semoga percepat loding ngebug sekian terima kasih,1,positive
gamenya bagus tpi boros kuota update pengaturan seminggu x x update ukuran mb dah gitu yg berubah yg sayang kuota mnding fikir dah gitu sizenya gede gb yg cari game fp nih game recommended,-16,negative
game memainkan sayang donlod game akun udah hilang semenjak mihoyo berubah hoyovers login pake google play game hilang kecewa mohon hoyovers mengembalikan login akun google play game,6,positive
update unduh ulang file game aneh banget kaya update install ulang mah player betah klo kaya gini,3,positive
best hero barunya keren ceritanya menyentuh grafik ok kadang gampang ngebug mohon tingkatan hoyovers thanks,13,positive
sorry kasih bintang gua login disuruh mendownload ulang gb gua kecewa mohon diturini tambahan download mb mb yg playstore gb please lahhh menangis,-14,negative
tolong optimasinya bermain coop kadang frame drop parahklo main story amanaman aja bermain coop frame drop diluar nalar,-1,negative
storynya seru emosional chapter animasinya grafis memanjakan mata kiana salah karakter character development terbaik chapter ngeliat kiana dewasa arrghhhh,1,positive
game bagus grafik bagus kalo bagus event ccustom freekenapa pas masuk gamenya loading masuk masuk inih nanda korya,-10,negative
seru gamenya tambahan tolong dipermudah karakternya diamondnya selebihnya mantap arigatou oo,11,positive
permisi kak update bermain story nge stack keluar² game mohon perbaiki bug,2,positive
keren salut grafika bug udah keabisan akal bgt hang force close tolong perbaiki keluhan dimainkan orang tenang,0,neutral
maaf honkai abisnya seru maaf banget nih gk sopan pas unduh file ngestuck pas log tetep maksud ngatain pls perbaiki banget lho coba besok besok u insttal game ngatain memperbaiki game terima kasih,3,positive
game keren banget grafiknya segi cerita banget eventnya kadang ngunduh rada,1,positive
mode open world misi doang grafik udh bagus game pc tambahin mode open world misi doang open world sampe game mati,-8,negative
terimakasih hoyovers game sukai orang mewakili captain terimakasih menemani rilis hoyovers menyaingi game rpg buataan mu semoga berkembang game favorite orang captain tokanii,20,positive
developer tolong udah download pas instaling download diulang sia sia aja hapus mlbb flipa clip ngeselin banget dah ngerasain game dah,-17,negative
keluhan min yah hi yg download pas login pemberitahuan update versi terbarunya versi terbaru alhasil login,2,positive
apalah dimaenin kemarin download udah disuruh giliran jalanjalan mulu internet lancar gini mah langsung uninstall aja,6,positive
segi grafik gameplay bagustapi kalo masuk game tolong dipercepatsama tolong update boros kuota,-10,negative
ngga enaknya ganti season install ulang kalo tambahan event jg mapnya perubahan enaknya ganti season eventnya ganti jd membosankan plz mihoyo update kasi download yg dibutuhin aja jgn download gban ngga si ama kuota males nungguin batt kalo gagal auto ngulang,-11,negative
game udh bagus segi grafik gameplay event dll menurutku tolong developernya meringankan game yg device bagus menikmati game,-3,negative
pokoknya best pokoknya sampe bingung komen grafis mantep actionnya dapet storynya nggak mbosenin kekurangan tersedianya bahasa indonesia bingung program programnya mohon bahasa indonesianya biar nggak bingung gampang programnya please permintaan love,-21,negative
gamenya udah bagus wajar kalo dapet rating dapet game honkai impact optimalisasi hp android aga bagus main hp pake soc mediat hel g aja ngefrezee setau g sekentang grafis udah ngikutin rekomendasi aichan udah setting rendah lancar parah frezeenya,-9,negative
makasih game gw dapet senadina x pull weapon x pull gw harap crafting stigmata karakter part dipermudah kyk crafting stigmata karakter part,8,positive
protes login server update suda update game eh servernya yg shut tolong push level captain kugunain x xp buang buang tolong selesai update server udah sabar liat sambungan cerita,-3,negative
masuk download data bamyak play store mendownload biar cepat login membuka aplikasi mendownload data,-15,negative
ny game mengunduh data ny bagus ml unduh data ny smbil main game ny didalam klo skin unduh gitu semoga ny perbaiki,-4,negative
hai nama khanza ernah download aplikasi pas buka aplikasinya loading banget udh make wifi kemaren stuck udh segitu doang terimakasih,5,positive
saran coop modenya kasih pilihan player biar gk nunggu gk efek player hp standard gameplaynya suadah bagus ditunggu developer next update,5,positive
kali nemuin game bikin bosan karna aja event menarik sistem ranking memorial arena semangat main bersaing skor kapten keseruan good game,12,positive
update kali smooth tingkat lgi kedepannya kestabilan pelyer kenyamanan,9,positive
ok loadingnya lamahabis hnya menunggu loadingnyakalau perbaiki min biar pecinta game kecewa ok hnya jelaskantrimaks,5,positive
permisi pemain dansaya kecewa karna mendownloat data game play warna hitam apakan apapun yg membantu tolong perbaiki bug mohon,-7,negative
knp pas main stuck loading mulu admin pls tolong update biar gk stuck loading kalo gk stuck loading kasih bintang menurutku game lumayan bagus suka rpg sayang game rpg pd gb kalo game ratusan mb sorry ngomong gk hehe,2,positive
saran kalo lancar maen ni game hp lu hrs ram gb boy trs klo bsa cpu snapdragon keatas jd klo yg force close nge lag dll ntu bkn game yg eror bambang tpi hp yg prlu upgrade cuy,2,positive
downoload tulisannya mendownload data numerik penyimpanan jaringannya pakai wifi kencang tolong developer dibaikin coba gamenya,-1,negative
rating bintang update crash kali masuk stage apapun,-7,negative
game bagus grafik kontrol bagus tolong dismantle reset valkyrie mengembalikan material coin mithril dipakai mengupgrade valkyrie,-1,negative
min tolong video game tersimpan handphone kapasitas ram rom nambah handphone,6,positive
gede aj size gamenya grafik gameplay udah bagus memori internal penuh turunin bintang,-1,negative
semoga update ver kedepanya cepat fix update player menunggu main hi,-2,negative
ngak tau salah ap knp link nomer hp tdk cek tdk kali send verfiy code menit expired tolong bantuanya,-11,negative
pas abis download buka gamenya loadingnya banget ampe jam nunggu kebuka sinyalnya bagus banget g sinyalnya,3,positive
kali login memperbarui pengaturan dah gitu nyerot kuota diam diampertamanya si gtw eh pas nyadar abis ni paket download gapenting gamenyasaya udah nyesel download game borosmasih game seru hematbukannya sebentar sebentar download mulu developer bego klo game gajelas borosnya ngira ngira,-3,negative
grafiknya bagus banget gameplaynya seru nggak bikin bosen tolong tambahin open world biar seru,-11,negative
kak mengunduh data hd banget ngunduh tolong diperbaiki kakdeveloper diperbaiki pengen main honkai impackt,0,neutral
saia pengen download game kayaknya seru pas lihat kritis komen download ber ulang ulang jaringannya gk enak pdhl bagus jaringannya jd saia gk minat download temen jg gitu download berulang ulanglama,4,positive
njir rilis gw mainin eh pas gw download penyimpanan g dah gede banget data wkwk g mainin deh semoga game sukses min,-1,negative
play mode story tbtb crash pikir chapter coba chapter crash,-8,negative
kalo game play bagus tp orng yg mainin game download banget knp filmnya aja kalo sintem download mobile legend mohon timbang,2,positive
habis update error terusudh download ulang berkali tetep aja error gmn sihdlunya gw suka ah bintang aja deh mohon bantuannya developer,-6,negative
aichan sayang deh wkwkwk dah mantep ndak ad kendala kecuali pembaruan update keseringan dongkan kapten takut paketnya habisndak loggin,-2,negative
grafiknya kyk nonton tv hd tp keluhanuntuk chapter yg world ex susah yamusuh bnyk cma menit tp sisa udh bagus,-10,negative
menantang sarankan penggunaan stamina stage event cronicles expedisi dikurangi pengisian stamina percepat menit menit mohon bantuan ai chan,3,positive
akun kebanned salah main males ulang teman gw nyaranin main event besaran gw main pakai hp kentang gara gara laptop gw rusak pokoknyan aichan terusin update event menarik ok,-13,negative
seru banget game gila grafik hmm sebagus genshin impact karakter versi chibi imut imut gimana gitu suka deh gw pokoknya kecepatan internetnya lemot mohon sabar download ingamenya mb gb komen negatif kasian mihoyo udah susah aplikasi khusus otaku aja terima kasih,-4,negative
sungguh game bagus visualnya memanjakan pengguna ceritanya menarik gameplay mudah membosankan dimainkan bertahuntahun penasaran langsung download aja guys ragu suka mengeluh update pengaturan intinya game bro kalo berdiam majunya nice day guys,15,positive
min pencerahan tolong min update semuanah download yg grafik hd masaiya suruh download abis aja koutabuat gamenya sayasaya kekeluhannya cuman pas update doang sumpah dah pokoknya segi permainan bagusdan ceritanya menarik pokoknya perbaikin kapten,-12,negative
sarankan men download game hp ruang luas ram kalo download game hp ram kapasitas dikit dhlh alamat mending main gua udah coba hp ram hp ngeframe nga gerak ok terimakasih ouh game bagus,9,positive
game yg menarik sayang ai chan kesusahan stamina menit dapet stamina dapet menit dapet stamina jam biji jam tunggu stamina sehari mainya besok tolong ai chan beli pake kristal mohon kabulkan,14,positive
game seru trus terlaly pay win tapu suka leg kedepannya semoga rilis mode pvp klo mode seru mantap dah gamenyadaripadaainmoba bikin sakit jiwa main batle royale bikin pening mata mending main wkwkwkwkwkwkwk,-2,negative
update update signifikan perangkat laptop pasca honkai ringan intel hd graphics perangkat android berat standar minimal chipset pakai snapdragon kebawah user android puas memainkan game,1,positive
update map pasca honkai kedownload sihapa mapnya arc haxxor bunnykalau pantesan download datanya gb tolong mihoyo ai channext update lagibalikin sizenya gbnguras storage banget update download gb,0,neutral
memori maih longgar ram gb kog valit menggabungkan data siapkan ruang,-6,negative
dear aichan problem dimasalah update setting yg kerestart update kuota terpakai mb karna restart mnaa update abis kuota ane update setting doang,-7,negative
udah update gb main update setting selesai suruh download hd aset mb bangke satunya gameku habisin kuota males main nih game,-8,negative
kak game honkai impact seru kak download langsung gede kalo download bikin hp panas kak data file pindahin kartu sd saran kak terima kasih,5,positive
kerasa udah main honkai impact sizenya gb gb hehehe grafik story gameplay dll amazing dah pokoknya thankyou mihoyo,-6,negative
beru masuk udah disuru downlowd lagisaya tunggu downdlowd bangetkok gini sihtolong mainkrn nunggu banget kagak mainnyapadahal jaringan bagus,-8,negative
disediakan download latar masak menunggu download gb layar utama download males coba kayak game sebelah download latar sekian saran,-12,negative
tolong story lanjutkan catatan sistem open world kaya genshin hsr letak keseruan hi fighting stage mudah pahami sekian,2,positive
game grafis terbaik kasih bintang alasan kebanyakan ngeluh tolonglah hargai depelover gamenya klau main game honkai jgn pake device kentang koneksi internet mesti stabil kenceng update yg size mah wajar namanya game klau update yah seru,5,positive
hallo update jam tunggu² tolong mindi upgrade update biar cepet jaringan wifi bagus kokmin pakai orang minnn,2,positive
game apasih udah loding masuk cepat mohon kurangi menit kasi bintang kalo dah main kasi bintang,-14,negative
game seru banget segi graphicnya jalan ceritanya skill karakternya keren keren tolong kak tambahin karakter lakilakinya keren,2,positive
game ny udah bagus sayang force closed tolong diperbaiki sistem bug terima kasih,-3,negative
giga nih game memori dah gb ajibb klo update yg total dikit update dikompres datanya klo update nyentuh gb penyimpanan terpaksa uninstal liat komen dsni nunggu email,-7,negative
tolong bikin honkai cloud game sebelah kerena game sizenya player penyimpanan bermain game bagus,1,positive
saran file didownload langsung play store kalo upgrade hd version download game kalo download game super download hd butuh jam koneksi internet,0,neutral
main loading pengaturan berjalan menetap tolong perbaiki pakai wifi stabil,7,positive
mohon diusahakan jeda dilanjutkan unduh memperbaharui pengaturan data event data event download ulang kasihan nunggu dowload pengaturan data event ngulang ngulang,-7,negative
samsung pake paket data wifi lancar instal main kalo stamina murah lv cuman main x,7,positive
gamenya buruk pas cek update eror internet data nyala sinyal bagus bermain game online yg lainuntuk admin honkai imoact tolong benerinjaringan bagus dikatain internet,-17,negative
mihoyo please story quest open world kayak chapter remakereset story gausah kasih reward pribadi gw player pengen ngerasain story disisi reward story kecewa karna menyelesaikan story open world kena spoiler susah menemukan feel seakan event kayak khusus player udah kelarin story chapter mohon mengerti mihoyo,-22,negative
game mantep grafik bagusalur mantep ok kebanyakan orang kalo penyimpanan hp kentang untung udah upgrade hp wkwk,10,positive
haaha update guaa main coba udah ilang paket gb update trus pas udah buka dahh update nungguu kreator mohon diperhitungkan update pengguna apk kecewaa,1,positive
udah release gacha ratenya gk naikin lamalqma tinggalin bikin player nyaman nusuk game udah bagus bagus fp game repetive alias selalukan bosen pas dapet gacha jelek bosen,-7,negative
ehh hyy aks tasyad nanya knp pas masuk lepas tuh tulisan mberror gitu ntah jaringannya ajahh tolong kk masuk kek manaaku suka game semangat qwq,2,positive
saran game bener bener keren banget karakter cuman character falkry cewe mihoyo fers mengupdet honkai impact memiliki character falkry laki laki pemain bosan character perempuan bosan mohon tolong kerja mihoyo fers terimakasih,11,positive
gua gi login nih gamenya suh update dulutpi play store gk tulisan update nyakenapa developer donkpengen main nih gua,-6,negative
tolong honkai impact memperbarui pengaturan mengganggu masuk kedalam game yg diperbarui tolong perbaiki kenyamanan pengguna terima kasih,9,positive
maaf kendala game main seberntar udah lag gimana kasih solusi game grafik bagus cerita game menarik kasih solusinya lag gamenya terimakasih,14,positive
mantap joss kali gw gm pas gw ennichisai game terkenal download gb grafiknya setara kimi nawa maju,17,positive
wahh beneran pake jaringan g pake wifi g pake jaringan g beneran nunggu menit gpp yg thank aichan yg g coba download pembaruan pengaturan pas jam malem pokoknya jam pake jaringan g jamin,7,positive
cuman update doang ehh instal ulang aset jga mengecewakan tolong update instal pikir instal aset dalamnya gampang susah bazengan knpa jga ulang dri mengecewakan,-8,negative
malas update setting mengulang selesai mengakibatkan buang buang quota,-12,negative
dev help latest version mulu pdhl udh update play store ama get apps gpp kalo pas latest version dimainin gk hapus download hapus download lanjutin story plis,0,neutral
really pas pakai jaringan seluler update mb pas udah update mb pas download pakai wifi ngak updatean pas diganti pakai jaringan seluler update,10,positive
gamenya bagus event gameplay story open world menarik kadang suka ngebug open world ngestuck hutan tetep bagus,-2,negative
gameplaynya bagus segi grafik dah ok tolong developer memperbaiki sistem gacha yg mengenakkan,-8,negative
kecewa berat update terbaru akun gw dihubungkan ngapain udah bagus login pakek google play mihoyo dll diubah gw gk login akun masak akun main nol dah pensi,-4,negative
pemula gw saranin masuk grup fb honkai impact indonesia like fp biar paham main gk ketinggalan kalo event yg suka nglag main fc ganti hp lu anjng main kalo hp lo kentang,-10,negative
game keren suka tipe game developer kasi event bagus biar nambah rame player aja makasih,4,positive
bagus update download data gb gini payah terima kasih nunggu full version update ngulang unduh datanya,-1,negative
game rusak login terusan update pengaturan kuota gua abisin login tersita update doang,-4,negative
tolong update update downloadnya gb menghabiskan paket data tolong developer update sewajarnya yaaaaa mb nggak apaapa terima kasih mendukung perkembangan game,2,positive
segi gameplay gw suka game graiding santai desain valkyrie suara gw suka bet semoga kedepannya event menarik,9,positive
mihoyo tolong diperbaiki resoucenya pas download resoucenya bener jaringan stabil downloadnya bener tolong diperbaiki,11,positive
game bener bener ngabisin kouta internet gwe gagal download update pengaturan game gwe coba berulang kali sampe jam loading muter muter selesai selesai please,-2,negative
tolong storynya dikembalikan membebani device bermain bentuk map story simpel dikembalikan,8,positive
tolong perbaiki sistem updatenya internet stabil mengulang lg updatenya menggangu,0,neutral
honkai impact grafiknya bagus pas fps drop bermasalah player game tolong atasi,1,positive
tim mihoyo terimakasih kerjasama game menikmatinya cuman kendala internet coop raid mengatasinya semoga game berkembang sukses tim mihoyo,7,positive
grafik mantapstorynya bagus update terbayar event grafik yg bagusterus maju hidup anime lover,-4,negative
knp update game disuruh update dialihkan playstore tombol update mainkan main tolong mihoyo perbaikin,1,positive
saran nih tolong update install latar kalo gamenya close download jalan ngeluh ngelag penyimpanan koneksi lelet hp lo kentang ajg koneksi lo lambat tu lo mbayar wifinya murah nyalahin mihoyo tolol ngasi bintang,-17,negative
sumpah anjg game nyebelin banget gw ukurannya cuman mb pas dibuka apk download ukuran file downloadnya gb tolong mihoyo kecilin ukuran data download biar kayak pubg,-10,negative
good gamedari game rpg tipe anime game recomendedgrafik udah baguskarakter banyakalur cerita banyaktapi game rekomendasikan ram minimal gbkalau ram gb takut lag,3,positive
game bagus banget performa grafik developer main² kalo hp standar minim bug bilang game jelek apapun developer udh ngebuang miliaran uang game,-5,negative
ok segi cerita mantep bangetdari segi graphic jgn bagus bgtnah yg bikin jelek rate gacha yg ampas nih ai chan guarantee sampe kgk ngenyantol fragmen deh minimalah ngak papa dah tetep nih game bagus ah jaringan pas update buruk tolong fix tq,-20,negative
